type,content_json
Theory,"{""title"": ""SQL Join"", ""summary"": ""Deep dive into the DBMS theory of SQL Join."", ""key_points"": [""Relational data retrieval."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Concept + Code,"{""question"": ""How is Hash Map implemented?"", ""answer"": ""Key-value mapping via hashing."", ""code"": {""c"": ""struct Entry { int key; int value; struct Entry* next; };"", ""cpp"": ""#include <unordered_map>\nstd::unordered_map<int, int> map; map[1] = 10;"", ""python"": ""hash_map = {}\nhash_map['key'] = 'value'""}, ""explanation"": ""A Hash Map (or Hash Table) stores key-value pairs and uses a Hash Function to compute an index in an array. This allows for near constant-time O(1) average lookup, insertion, and deletion. Collisions (when two keys hash to the same index) are handled via Chaining (linked lists at indices) or Open Addressing (finding next available slots). Performance depends heavily on the quality of the hash function and the load factor of the table."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Deadlock vs Normalization"", ""concept_a"": ""Deadlock"", ""concept_b"": ""Normalization"", ""difference"": ""Deadlock is Mutual blocking of resource waiting. while Normalization is Reducing data redundancy."", ""use_case"": ""Operating system resource safety. vs Schema design optimization.""}"
Theory,"{""title"": ""IP Address"", ""summary"": ""Deep dive into the NW theory of IP Address."", ""key_points"": [""Routing and identification."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Comparison,"{""topic"": ""Linked List vs DP"", ""concept_a"": ""Linked List"", ""concept_b"": ""DP"", ""difference"": ""Linked List is Chain of nodes with pointers. while DP is Solving via subproblem memoization."", ""use_case"": ""Dynamic memory allocation. vs Optimization problems (Knapsack).""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""DP"", ""summary"": ""Deep dive into the Algo theory of DP."", ""key_points"": [""Optimization problems (Knapsack)."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Comparison,"{""topic"": ""DP vs Big O"", ""concept_a"": ""DP"", ""concept_b"": ""Big O"", ""difference"": ""DP is Solving via subproblem memoization. while Big O is Worst-case complexity notation."", ""use_case"": ""Optimization problems (Knapsack). vs Algorithm analysis.""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Comparison,"{""topic"": ""Quick Sort vs Quick Sort"", ""concept_a"": ""Quick Sort"", ""concept_b"": ""Quick Sort"", ""difference"": ""Quick Sort is Pivot-based partitioning sort. while Quick Sort is Pivot-based partitioning sort."", ""use_case"": ""General purpose efficient sorting. vs General purpose efficient sorting.""}"
Theory,"{""title"": ""Normalization"", ""summary"": ""Deep dive into the DBMS theory of Normalization."", ""key_points"": [""Schema design optimization."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Theory,"{""title"": ""Deadlock"", ""summary"": ""Deep dive into the OS theory of Deadlock."", ""key_points"": [""Operating system resource safety."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is IP Address implemented?"", ""answer"": ""Numerical label for network device."", ""code"": ""// Implementing IP Address\nfunction init_ip_address() {}"", ""explanation"": ""This block initializes the IP Address logic for use in NW."", ""language"": ""Python""}"
Theory,"{""title"": ""Neural Network"", ""summary"": ""Deep dive into the Adv theory of Neural Network."", ""key_points"": [""Machine learning, AI vision."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Theory,"{""title"": ""Normalization"", ""summary"": ""Deep dive into the DBMS theory of Normalization."", ""key_points"": [""Schema design optimization."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Comparison,"{""topic"": ""Docker vs Hash Map"", ""concept_a"": ""Docker"", ""concept_b"": ""Hash Map"", ""difference"": ""Docker is Containerization platform. while Hash Map is Key-value mapping via hashing."", ""use_case"": ""App deployment consistency. vs Database indexes, O(1) search.""}"
Concept + Code,"{""question"": ""How is Segmentation implemented?"", ""answer"": ""Variable size memory partitioning."", ""code"": ""// Implementing Segmentation\nfunction init_segmentation() {}"", ""explanation"": ""This block initializes the Segmentation logic for use in OS."", ""language"": ""C++""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Comparison,"{""topic"": ""TCP vs Heap"", ""concept_a"": ""TCP"", ""concept_b"": ""Heap"", ""difference"": ""TCP is Connection-oriented reliable protocol. while Heap is Complete binary tree for priority."", ""use_case"": ""Web traffic, file transfer. vs Priority queues, Heap Sort.""}"
Comparison,"{""topic"": ""Quantum Bit vs Thread"", ""concept_a"": ""Quantum Bit"", ""concept_b"": ""Thread"", ""difference"": ""Quantum Bit is Basic unit of quantum info. while Thread is Lightweight execution unit."", ""use_case"": ""Quantum computing parallelism. vs Parallel processing in applications.""}"
Theory,"{""title"": ""Paging"", ""summary"": ""Deep dive into the OS theory of Paging."", ""key_points"": [""Virtual memory systems."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Theory,"{""title"": ""Thread"", ""summary"": ""Deep dive into the OS theory of Thread."", ""key_points"": [""Parallel processing in applications."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Theory,"{""title"": ""Docker"", ""summary"": ""Deep dive into the Tools theory of Docker."", ""key_points"": [""App deployment consistency."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Comparison,"{""topic"": ""Linked List vs Queue"", ""concept_a"": ""Linked List"", ""concept_b"": ""Queue"", ""difference"": ""Linked List is Chain of nodes with pointers. while Queue is FIFO linear data structure."", ""use_case"": ""Dynamic memory allocation. vs Scheduling, Buffering.""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""Java""}"
Theory,"{""title"": ""OSI Model"", ""summary"": ""Deep dive into the NW theory of OSI Model."", ""key_points"": [""Standardizing communication."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Docker vs Deadlock"", ""concept_a"": ""Docker"", ""concept_b"": ""Deadlock"", ""difference"": ""Docker is Containerization platform. while Deadlock is Mutual blocking of resource waiting."", ""use_case"": ""App deployment consistency. vs Operating system resource safety.""}"
Concept + Code,"{""question"": ""How is SQL Join implemented?"", ""answer"": ""Combining rows from multiple tables."", ""code"": ""// Implementing SQL Join\nfunction init_sql_join() {}"", ""explanation"": ""This block initializes the SQL Join logic for use in DBMS."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Queue vs UDP"", ""concept_a"": ""Queue"", ""concept_b"": ""UDP"", ""difference"": ""Queue is FIFO linear data structure. while UDP is Connectionless fast protocol."", ""use_case"": ""Scheduling, Buffering. vs Gaming, streaming.""}"
Comparison,"{""topic"": ""DP vs Binary Tree"", ""concept_a"": ""DP"", ""concept_b"": ""Binary Tree"", ""difference"": ""DP is Solving via subproblem memoization. while Binary Tree is Hierarchical structure with 2 children."", ""use_case"": ""Optimization problems (Knapsack). vs File systems, search trees.""}"
Theory,"{""title"": ""Big O"", ""summary"": ""Deep dive into the Adv theory of Big O."", ""key_points"": [""Algorithm analysis."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Theory,"{""title"": ""Stack"", ""summary"": ""Deep dive into the DS theory of Stack."", ""key_points"": [""Recursion, Undo logic."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""TCP vs UDP"", ""concept_a"": ""TCP"", ""concept_b"": ""UDP"", ""difference"": ""TCP is Connection-oriented reliable protocol. while UDP is Connectionless fast protocol."", ""use_case"": ""Web traffic, file transfer. vs Gaming, streaming.""}"
Theory,"{""title"": ""Linked List"", ""summary"": ""Deep dive into the DS theory of Linked List."", ""key_points"": [""Dynamic memory allocation."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""Normalization"", ""summary"": ""Deep dive into the DBMS theory of Normalization."", ""key_points"": [""Schema design optimization."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Theory,"{""title"": ""Linked List"", ""summary"": ""Deep dive into the DS theory of Linked List."", ""key_points"": [""Dynamic memory allocation."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Big O implemented?"", ""answer"": ""Worst-case complexity notation."", ""code"": ""// Implementing Big O\nfunction init_big_o() {}"", ""explanation"": ""This block initializes the Big O logic for use in Adv."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Heap implemented?"", ""answer"": ""Complete binary tree for priority."", ""code"": ""// Implementing Heap\nfunction init_heap() {}"", ""explanation"": ""This block initializes the Heap logic for use in DS."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Heap implemented?"", ""answer"": ""Complete binary tree for priority."", ""code"": ""// Implementing Heap\nfunction init_heap() {}"", ""explanation"": ""This block initializes the Heap logic for use in DS."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Normalization vs Dijkstra"", ""concept_a"": ""Normalization"", ""concept_b"": ""Dijkstra"", ""difference"": ""Normalization is Reducing data redundancy. while Dijkstra is Shortest path in weighted graph."", ""use_case"": ""Schema design optimization. vs Network routing, GPS.""}"
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Queue vs Segmentation"", ""concept_a"": ""Queue"", ""concept_b"": ""Segmentation"", ""difference"": ""Queue is FIFO linear data structure. while Segmentation is Variable size memory partitioning."", ""use_case"": ""Scheduling, Buffering. vs Logical memory grouping.""}"
Comparison,"{""topic"": ""DP vs Neural Network"", ""concept_a"": ""DP"", ""concept_b"": ""Neural Network"", ""difference"": ""DP is Solving via subproblem memoization. while Neural Network is Nodes mimicking brain neurons."", ""use_case"": ""Optimization problems (Knapsack). vs Machine learning, AI vision.""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""Python""}"
Theory,"{""title"": ""Deadlock"", ""summary"": ""Deep dive into the OS theory of Deadlock."", ""key_points"": [""Operating system resource safety."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Queue implemented?"", ""answer"": ""FIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 5\nint q[MAX], f=-1, r=-1;\nvoid enq(int x) { if((r+1)%MAX != f) { if(f==-1)f=0; r=(r+1)%MAX; q[r]=x; } }\nint deq() { if(f==-1) return -1; int x=q[f]; if(f==r) f=r=-1; else f=(f+1)%MAX; return x; }"", ""cpp"": ""#include <iostream>\n#include <queue>\nint main() { std::queue<int> q; q.push(1); q.pop(); return 0; }"", ""python"": ""from collections import deque\nq = deque()\nq.append(1) # Enqueue\nq.popleft() # Dequeue""}, ""explanation"": ""A Queue follows the FIFO (First-In, First-Out) principle, where insertion happens at the Rear and deletion at the Front. It is essential for asynchronous data transfers, task scheduling, and breadth-first search. Common variations include Circular Queues, Priority Queues, and Deques. In a Circular Queue, the last position is connected back to the first to optimize memory utilization. Complexity for enqueue and dequeue is typically O(1)."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Big O"", ""summary"": ""Deep dive into the Adv theory of Big O."", ""key_points"": [""Algorithm analysis."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Concept + Code,"{""question"": ""How is Quantum Bit implemented?"", ""answer"": ""Basic unit of quantum info."", ""code"": ""// Implementing Quantum Bit\nfunction init_quantum_bit() {}"", ""explanation"": ""This block initializes the Quantum Bit logic for use in Adv."", ""language"": ""Python""}"
Comparison,"{""topic"": ""TCP vs TCP"", ""concept_a"": ""TCP"", ""concept_b"": ""TCP"", ""difference"": ""TCP is Connection-oriented reliable protocol. while TCP is Connection-oriented reliable protocol."", ""use_case"": ""Web traffic, file transfer. vs Web traffic, file transfer.""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""Python""}"
Comparison,"{""topic"": ""Process vs Big O"", ""concept_a"": ""Process"", ""concept_b"": ""Big O"", ""difference"": ""Process is Program in execution. while Big O is Worst-case complexity notation."", ""use_case"": ""Multi-tasking environments. vs Algorithm analysis.""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Comparison,"{""topic"": ""Hash Map vs Git"", ""concept_a"": ""Hash Map"", ""concept_b"": ""Git"", ""difference"": ""Hash Map is Key-value mapping via hashing. while Git is Distributed version control."", ""use_case"": ""Database indexes, O(1) search. vs Software collaboration.""}"
Comparison,"{""topic"": ""DP vs Heap"", ""concept_a"": ""DP"", ""concept_b"": ""Heap"", ""difference"": ""DP is Solving via subproblem memoization. while Heap is Complete binary tree for priority."", ""use_case"": ""Optimization problems (Knapsack). vs Priority queues, Heap Sort.""}"
Comparison,"{""topic"": ""Heap vs Normalization"", ""concept_a"": ""Heap"", ""concept_b"": ""Normalization"", ""difference"": ""Heap is Complete binary tree for priority. while Normalization is Reducing data redundancy."", ""use_case"": ""Priority queues, Heap Sort. vs Schema design optimization.""}"
Comparison,"{""topic"": ""ACID vs Git"", ""concept_a"": ""ACID"", ""concept_b"": ""Git"", ""difference"": ""ACID is Database transaction properties. while Git is Distributed version control."", ""use_case"": ""Ensuring data integrity. vs Software collaboration.""}"
Theory,"{""title"": ""OSI Model"", ""summary"": ""Deep dive into the NW theory of OSI Model."", ""key_points"": [""Standardizing communication."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""Graph"", ""summary"": ""Deep dive into the DS theory of Graph."", ""key_points"": [""Social networks, maps."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""Normalization vs SQL Join"", ""concept_a"": ""Normalization"", ""concept_b"": ""SQL Join"", ""difference"": ""Normalization is Reducing data redundancy. while SQL Join is Combining rows from multiple tables."", ""use_case"": ""Schema design optimization. vs Relational data retrieval.""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Binary Tree vs Git"", ""concept_a"": ""Binary Tree"", ""concept_b"": ""Git"", ""difference"": ""Binary Tree is Hierarchical structure with 2 children. while Git is Distributed version control."", ""use_case"": ""File systems, search trees. vs Software collaboration.""}"
Theory,"{""title"": ""Queue"", ""summary"": ""Deep dive into the DS theory of Queue."", ""key_points"": [""Scheduling, Buffering."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""SQL Join vs Git"", ""concept_a"": ""SQL Join"", ""concept_b"": ""Git"", ""difference"": ""SQL Join is Combining rows from multiple tables. while Git is Distributed version control."", ""use_case"": ""Relational data retrieval. vs Software collaboration.""}"
Theory,"{""title"": ""Dijkstra"", ""summary"": ""Deep dive into the Algo theory of Dijkstra."", ""key_points"": [""Network routing, GPS."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""IP Address"", ""summary"": ""Deep dive into the NW theory of IP Address."", ""key_points"": [""Routing and identification."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is IP Address implemented?"", ""answer"": ""Numerical label for network device."", ""code"": ""// Implementing IP Address\nfunction init_ip_address() {}"", ""explanation"": ""This block initializes the IP Address logic for use in NW."", ""language"": ""Python""}"
Concept + Code,"{""question"": ""How is Dijkstra implemented?"", ""answer"": ""Shortest path in weighted graph."", ""code"": {""c"": ""void dijkstra(int graph[V][V], int src) { /* Priority queue implementation required in C */ }"", ""cpp"": ""#include <set>\nvoid dijkstra(int s) { std::set<std::pair<int, int>> pq; pq.insert({0, s}); }"", ""python"": ""import heapq\ndef dijkstra(graph, start):\n    pq = [(0, start)]\n    while pq: (dist, u) = heapq.heappop(pq)""}, ""explanation"": ""Dijkstra's Algorithm finds the shortest path from a single source vertex to all other vertices in a weighted graph with non-negative edge weights. It uses a Greedy approach, maintaining a set of shortest-reach distances and a priority queue to pick the closest unvisited node. Its complexity is O((V+E) log V) with a binary heap. It is widely used in network routing and GPS navigation systems. Note: It fails on graphs with negative weights."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Hash Map vs DNS"", ""concept_a"": ""Hash Map"", ""concept_b"": ""DNS"", ""difference"": ""Hash Map is Key-value mapping via hashing. while DNS is Domain name to IP resolution."", ""use_case"": ""Database indexes, O(1) search. vs Human-friendly web navigation.""}"
Comparison,"{""topic"": ""Paging vs DNS"", ""concept_a"": ""Paging"", ""concept_b"": ""DNS"", ""difference"": ""Paging is Non-contiguous memory management. while DNS is Domain name to IP resolution."", ""use_case"": ""Virtual memory systems. vs Human-friendly web navigation.""}"
Theory,"{""title"": ""Quantum Bit"", ""summary"": ""Deep dive into the Adv theory of Quantum Bit."", ""key_points"": [""Quantum computing parallelism."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Comparison,"{""topic"": ""UDP vs Heap"", ""concept_a"": ""UDP"", ""concept_b"": ""Heap"", ""difference"": ""UDP is Connectionless fast protocol. while Heap is Complete binary tree for priority."", ""use_case"": ""Gaming, streaming. vs Priority queues, Heap Sort.""}"
Concept + Code,"{""question"": ""How is UDP implemented?"", ""answer"": ""Connectionless fast protocol."", ""code"": ""// Implementing UDP\nfunction init_udp() {}"", ""explanation"": ""This block initializes the UDP logic for use in NW."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Thread vs Docker"", ""concept_a"": ""Thread"", ""concept_b"": ""Docker"", ""difference"": ""Thread is Lightweight execution unit. while Docker is Containerization platform."", ""use_case"": ""Parallel processing in applications. vs App deployment consistency.""}"
Theory,"{""title"": ""Linked List"", ""summary"": ""Deep dive into the DS theory of Linked List."", ""key_points"": [""Dynamic memory allocation."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Normalization"", ""summary"": ""Deep dive into the DBMS theory of Normalization."", ""key_points"": [""Schema design optimization."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Theory,"{""title"": ""Quick Sort"", ""summary"": ""Deep dive into the Algo theory of Quick Sort."", ""key_points"": [""General purpose efficient sorting."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Theory,"{""title"": ""Stack"", ""summary"": ""Deep dive into the DS theory of Stack."", ""key_points"": [""Recursion, Undo logic."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is DNS implemented?"", ""answer"": ""Domain name to IP resolution."", ""code"": ""// Implementing DNS\nfunction init_dns() {}"", ""explanation"": ""This block initializes the DNS logic for use in NW."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Dijkstra vs Graph"", ""concept_a"": ""Dijkstra"", ""concept_b"": ""Graph"", ""difference"": ""Dijkstra is Shortest path in weighted graph. while Graph is Nodes and edges representing relations."", ""use_case"": ""Network routing, GPS. vs Social networks, maps.""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""Python""}"
Theory,"{""title"": ""Heap"", ""summary"": ""Deep dive into the DS theory of Heap."", ""key_points"": [""Priority queues, Heap Sort."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""Big O vs IP Address"", ""concept_a"": ""Big O"", ""concept_b"": ""IP Address"", ""difference"": ""Big O is Worst-case complexity notation. while IP Address is Numerical label for network device."", ""use_case"": ""Algorithm analysis. vs Routing and identification.""}"
Comparison,"{""topic"": ""Linked List vs Normalization"", ""concept_a"": ""Linked List"", ""concept_b"": ""Normalization"", ""difference"": ""Linked List is Chain of nodes with pointers. while Normalization is Reducing data redundancy."", ""use_case"": ""Dynamic memory allocation. vs Schema design optimization.""}"
